"Subjects"	"Activities"	"mean_av"	"std_av"
16	"standing"	-0.51197263003108	-0.977216783216783
16	"laying"	-0.512254774458874	-0.974312121212121
17	"walking"	-0.180876454048684	-0.437680946845504
17	"Walking_upstairs"	-0.180899346906566	-0.424137482954545
17	"walking_downstairs"	-0.11705135770751	-0.349844229907773
17	"sitting"	-0.511819484375	-0.982207386363636
17	"standing"	-0.523533344444444	-0.983420745920746
17	"laying"	-0.493153683738796	-0.969502774221084
18	"walking"	-0.23586159469697	-0.553098538961039
18	"Walking_upstairs"	-0.282519895862069	-0.570421159874608
18	"walking_downstairs"	-0.232640131129477	-0.522414931129477
18	"sitting"	-0.500879702307283	-0.986817650186071
18	"standing"	-0.511595075466999	-0.977260273972603
18	"laying"	-0.504345739393939	-0.987923076923077
19	"walking"	0.018567065736014	-0.166548596736597
19	"Walking_upstairs"	-0.0845280106060606	-0.309256528030303
19	"walking_downstairs"	0.207839353457653	0.102045472416472
19	"sitting"	-0.485539469987547	-0.970812370278124
19	"standing"	-0.50236695184724	-0.968727687837277
19	"laying"	-0.50900323430084	-0.975286600949252
20	"walking"	-0.00743074723707665	-0.183366896019014
20	"Walking_upstairs"	-0.110533471182412	-0.300983203208556
20	"walking_downstairs"	0.0205760906397306	-0.112185179124579
20	"sitting"	-0.490147908172635	-0.962054912764004
20	"standing"	-0.483049528435035	-0.924123287671233
20	"laying"	-0.504019559581105	-0.971674554367201
21	"walking"	-0.12971532983683	-0.349500570745921
21	"Walking_upstairs"	-0.177789092198582	-0.419604486782721
21	"walking_downstairs"	-0.043488595959596	-0.235811515151515
21	"sitting"	-0.505870391194296	-0.980388948306595
21	"standing"	-0.51545913421859	-0.965189649302009
21	"laying"	-0.492167573063973	-0.966466666666667
22	"walking"	-0.0555991346508564	-0.26806736969697
22	"Walking_upstairs"	-0.0840794978354978	-0.29935996031746
22	"walking_downstairs"	-0.0321851181818182	-0.262604971380471
22	"sitting"	-0.483121373900293	-0.95720195601173
22	"standing"	-0.498263000962001	-0.955313612313612
22	"laying"	-0.488332605639731	-0.949523367003367
23	"walking"	-0.0151931913199795	-0.178660995377504
23	"Walking_upstairs"	-0.138859891265597	-0.380007199049317
23	"walking_downstairs"	0.0856446863075196	-0.0965931958473625
23	"sitting"	-0.492149546033868	-0.960067468805704
23	"standing"	-0.507483082174688	-0.962659982174688
23	"laying"	-0.502064381313131	-0.974832912457912
24	"walking"	-0.208195668234065	-0.505717408568443
24	"Walking_upstairs"	-0.224173856189009	-0.501052157164869
24	"walking_downstairs"	-0.121026682093664	-0.361813485399449
24	"sitting"	-0.496420622326203	-0.977864973262032
24	"standing"	-0.503255409266579	-0.965583223539745
24	"laying"	-0.499246151936027	-0.9770867003367
25	"walking"	-0.261610087223587	-0.578712473382473
25	"Walking_upstairs"	-0.282532010722611	-0.588302205128205
25	"walking_downstairs"	-0.202523303030303	-0.489389258098224
25	"sitting"	-0.496407637296037	-0.978815291375291
25	"standing"	-0.502491072891073	-0.97601638001638
25	"laying"	-0.450861818596928	-0.859220618513906
26	"walking"	-0.170676085259373	-0.466809455572676
26	"Walking_upstairs"	-0.193499631404959	-0.467178457300275
26	"walking_downstairs"	-0.0661311699393939	-0.284847466545455
26	"sitting"	-0.492606697241647	-0.971815306915307
26	"standing"	-0.504868257166257	-0.975945945945946
26	"laying"	-0.508709468819777	-0.980652711323764
27	"walking"	-0.175653023492823	-0.454952120148857
27	"Walking_upstairs"	-0.235576773024361	-0.500439952465835
27	"walking_downstairs"	-0.0636349958677686	-0.297591707988981
27	"sitting"	-0.495464931168831	-0.981751948051948
27	"standing"	-0.50977196167803	-0.977865151515152
27	"laying"	-0.509064279115479	-0.985015151515152
28	"walking"	-0.174220503367003	-0.453522389450056
28	"Walking_upstairs"	-0.195669178847296	-0.451136304218657
28	"walking_downstairs"	-0.0270432986824769	-0.251725812055336
28	"sitting"	-0.497152431818182	-0.964938552188552
28	"standing"	-0.489452103950901	-0.935392788645953
28	"laying"	-0.535173965719697	-0.964250757575758
29	"walking"	-0.119528975414523	-0.394165722698685
29	"Walking_upstairs"	-0.136028654298083	-0.327899693877551
29	"walking_downstairs"	-0.0622495781565657	-0.295372369318182
29	"sitting"	-0.49600977020202	-0.982033838383838
29	"standing"	-0.508232103916084	-0.985724941724942
29	"laying"	-0.505506741765481	-0.988594642072903
30	"walking"	-0.145906382750583	-0.388127104895105
30	"Walking_upstairs"	-0.221269717529138	-0.456559332400932
30	"walking_downstairs"	-0.102443786412512	-0.332592064037146
30	"sitting"	-0.492450779374389	-0.971680840664712
30	"standing"	-0.487122720441705	-0.941439137134052
30	"laying"	-0.496137816017316	-0.971317316017316
